5
[F0, G_req1?x, F1]
[F1, G_rel1!x, F0]
[F0, G_req2?x, F2]
[F2, G_rel2!x, F0]
[F0, G_req3?x, F3]
[F3, G_rel3!x, F0]
[F0, G_req4?x, F4]
[F4, G_rel4!x, F0]
done
256
[Q0, G_req2?y, Q1] 
 [Q0, G_req2?y, Q2] 
 [Q0, G_req1?y, Q3] 
 [Q0, G_req1?y, Q4] 
 [Q1, A_as_y_1, Q5] 
 [Q1, G_req2?y, Q1] 
 [Q1, G_req2?y, Q6] 
 [Q1, G_req1?y, Q7] 
 [Q1, G_req1?y, Q8] 
 [Q2, A_as_y_1, Q9] 
 [Q2, G_req2?y, Q2] 
 [Q2, G_req2?y, Q6] 
 [Q2, G_req1?y, Q10] 
 [Q2, G_req1?y, Q11] 
 [Q3, A_as_y_1, Q12] 
 [Q3, G_req2?y, Q7] 
 [Q3, G_req2?y, Q10] 
 [Q3, G_req1?y, Q3] 
 [Q3, G_req1?y, Q13] 
 [Q4, A_as_y_1, Q14] 
 [Q4, G_req2?y, Q8] 
 [Q4, G_req2?y, Q11] 
 [Q4, G_req1?y, Q4] 
 [Q4, G_req1?y, Q13] 
 [Q5, G_rel2!y, Q15] 
 [Q5, G_req2?y, Q16] 
 [Q5, G_req1?y, Q17] 
 [Q5, G_req1?y, Q18] 
 [Q6, A_as_y_1, Q16] 
 [Q6, A_as_y_1, Q19] 
 [Q6, G_req2?y, Q6] 
 [Q6, G_req1?y, Q20] 
 [Q6, G_req1?y, Q21] 
 [Q7, A_as_y_1, Q17] 
 [Q7, A_as_y_1, Q22] 
 [Q7, G_req2?y, Q20] 
 [Q7, G_req2?y, Q7] 
 [Q7, G_req1?y, Q7] 
 [Q7, G_req1?y, Q23] 
 [Q8, A_as_y_1, Q18] 
 [Q8, A_as_y_1, Q24] 
 [Q8, G_req2?y, Q21] 
 [Q8, G_req2?y, Q8] 
 [Q8, G_req1?y, Q23] 
 [Q8, G_req1?y, Q8] 
 [Q9, G_rel2!y, Q25] 
 [Q9, G_req2?y, Q19] 
 [Q9, G_req1?y, Q26] 
 [Q9, G_req1?y, Q27] 
 [Q10, A_as_y_1, Q26] 
 [Q10, A_as_y_1, Q28] 
 [Q10, G_req2?y, Q20] 
 [Q10, G_req2?y, Q10] 
 [Q10, G_req1?y, Q10] 
 [Q10, G_req1?y, Q29] 
 [Q11, A_as_y_1, Q27] 
 [Q11, A_as_y_1, Q30] 
 [Q11, G_req2?y, Q21] 
 [Q11, G_req2?y, Q11] 
 [Q11, G_req1?y, Q11] 
 [Q11, G_req1?y, Q29] 
 [Q12, G_rel1!y, Q31] 
 [Q12, G_req2?y, Q22] 
 [Q12, G_req2?y, Q28] 
 [Q12, G_req1?y, Q32] 
 [Q13, A_as_y_1, Q32] 
 [Q13, A_as_y_1, Q33] 
 [Q13, G_req2?y, Q23] 
 [Q13, G_req2?y, Q29] 
 [Q13, G_req1?y, Q13] 
 [Q14, G_rel1!y, Q34] 
 [Q14, G_req2?y, Q24] 
 [Q14, G_req2?y, Q30] 
 [Q14, G_req1?y, Q33] 
 [Q15, G_req2?y, Q1] 
 [Q15, G_req2?y, Q35] 
 [Q15, G_req1?y, Q36] 
 [Q15, G_req1?y, Q37] 
 [Q16, G_rel2!y, Q35] 
 [Q16, A_as_y_1, Q38] 
 [Q16, G_req2?y, Q16] 
 [Q16, G_req1?y, Q39] 
 [Q16, G_req1?y, Q40] 
 [Q17, G_rel2!y, Q36] 
 [Q17, A_as_y_1, Q41] 
 [Q17, G_req2?y, Q39] 
 [Q17, G_req1?y, Q17] 
 [Q17, G_req1?y, Q42] 
 [Q18, G_rel2!y, Q37] 
 [Q18, A_as_y_1, Q43] 
 [Q18, G_req2?y, Q40] 
 [Q18, G_req1?y, Q18] 
 [Q18, G_req1?y, Q42] 
 [Q19, G_rel2!y, Q44] 
 [Q19, A_as_y_1, Q38] 
 [Q19, G_req2?y, Q19] 
 [Q19, G_req1?y, Q45] 
 [Q19, G_req1?y, Q46] 
 [Q20, A_as_y_1, Q39] 
 [Q20, A_as_y_1, Q45] 
 [Q20, A_as_y_1, Q47] 
 [Q20, G_req2?y, Q20] 
 [Q20, G_req1?y, F48] 
 [Q20, G_req1?y, Q20] 
 [Q21, A_as_y_1, Q49] 
 [Q21, A_as_y_1, Q40] 
 [Q21, A_as_y_1, Q46] 
 [Q21, G_req2?y, Q21] 
 [Q21, G_req1?y, F48] 
 [Q21, G_req1?y, Q21] 
 [Q22, G_rel1!y, Q50] 
 [Q22, A_as_y_1, Q41] 
 [Q22, G_req2?y, Q22] 
 [Q22, G_req2?y, Q47] 
 [Q22, G_req1?y, Q51] 
 [Q23, A_as_y_1, Q51] 
 [Q23, A_as_y_1, Q52] 
 [Q23, A_as_y_1, Q42] 
 [Q23, G_req2?y, F48] 
 [Q23, G_req2?y, Q23] 
 [Q23, G_req1?y, Q23] 
 [Q24, G_rel1!y, Q53] 
 [Q24, A_as_y_1, Q43] 
 [Q24, G_req2?y, Q49] 
 [Q24, G_req2?y, Q24] 
 [Q24, G_req1?y, Q52] 
 [Q25, G_req2?y, Q2] 
 [Q25, G_req2?y, Q44] 
 [Q25, G_req1?y, Q54] 
 [Q25, G_req1?y, Q55] 
 [Q26, G_rel2!y, Q54] 
 [Q26, A_as_y_1, Q56] 
 [Q26, G_req2?y, Q45] 
 [Q26, G_req1?y, Q57] 
 [Q26, G_req1?y, Q26] 
 [Q27, G_rel2!y, Q55] 
 [Q27, A_as_y_1, Q58] 
 [Q27, G_req2?y, Q46] 
 [Q27, G_req1?y, Q57] 
 [Q27, G_req1?y, Q27] 
 [Q28, G_rel1!y, Q59] 
 [Q28, A_as_y_1, Q56] 
 [Q28, G_req2?y, Q28] 
 [Q28, G_req2?y, Q47] 
 [Q28, G_req1?y, Q60] 
 [Q29, A_as_y_1, Q57] 
 [Q29, A_as_y_1, Q60] 
 [Q29, A_as_y_1, Q61] 
 [Q29, G_req2?y, F48] 
 [Q29, G_req2?y, Q29] 
 [Q29, G_req1?y, Q29] 
 [Q30, G_rel1!y, Q62] 
 [Q30, A_as_y_1, Q58] 
 [Q30, G_req2?y, Q49] 
 [Q30, G_req2?y, Q30] 
 [Q30, G_req1?y, Q61] 
 [Q31, G_req2?y, Q50] 
 [Q31, G_req2?y, Q59] 
 [Q31, G_req1?y, Q3] 
 [Q31, G_req1?y, Q63] 
 [Q32, G_rel1!y, Q63] 
 [Q32, A_as_y_1, Q64] 
 [Q32, G_req2?y, Q51] 
 [Q32, G_req2?y, Q60] 
 [Q32, G_req1?y, Q32] 
 [Q33, G_rel1!y, Q65] 
 [Q33, A_as_y_1, Q64] 
 [Q33, G_req2?y, Q52] 
 [Q33, G_req2?y, Q61] 
 [Q33, G_req1?y, Q33] 
 [Q34, G_req2?y, Q53] 
 [Q34, G_req2?y, Q62] 
 [Q34, G_req1?y, Q65] 
 [Q34, G_req1?y, Q4] 
 [Q35, A_as_y_1, Q66] 
 [Q35, G_req2?y, Q35] 
 [Q35, G_req2?y, Q6] 
 [Q35, G_req1?y, Q67] 
 [Q35, G_req1?y, Q68] 
 [Q36, A_as_y_1, Q69] 
 [Q36, G_req2?y, Q67] 
 [Q36, G_req2?y, Q7] 
 [Q36, G_req1?y, Q36] 
 [Q36, G_req1?y, Q70] 
 [Q37, A_as_y_1, Q71] 
 [Q37, G_req2?y, Q68] 
 [Q37, G_req2?y, Q8] 
 [Q37, G_req1?y, Q37] 
 [Q37, G_req1?y, Q70] 
 [Q38, G_rel2!y, Q66] 
 [Q38, G_rel2!y, Q72] 
 [Q38, G_req1?y, Q73] 
 [Q38, G_req1?y, Q74] 
 [Q39, G_rel2!y, Q67] 
 [Q39, A_as_y_1, Q73] 
 [Q39, A_as_y_1, Q75] 
 [Q39, G_req2?y, Q39] 
 [Q39, G_req1?y, Q39] 
 [Q39, G_req1?y, F76] 
 [Q40, G_rel2!y, Q68] 
 [Q40, A_as_y_1, Q74] 
 [Q40, A_as_y_1, Q77] 
 [Q40, G_req2?y, Q40] 
 [Q40, G_req1?y, Q40] 
 [Q40, G_req1?y, F76] 
 [Q41, G_rel2!y, Q69] 
 [Q41, G_rel1!y, Q78] 
 [Q41, G_req2?y, Q75] 
 [Q41, G_req1?y, Q79] 
 [Q42, G_rel2!y, Q70] 
 [Q42, A_as_y_1, Q80] 
 [Q42, A_as_y_1, Q79] 
 [Q42, G_req2?y, F76] 
 [Q42, G_req1?y, Q42] 
 [Q43, G_rel2!y, Q71] 
 [Q43, G_rel1!y, Q81] 
 [Q43, G_req2?y, Q77] 
 [Q43, G_req1?y, Q80] 
 [Q44, A_as_y_1, Q72] 
 [Q44, G_req2?y, Q6] 
 [Q44, G_req2?y, Q44] 
 [Q44, G_req1?y, Q82] 
 [Q44, G_req1?y, Q83] 
 [Q45, G_rel2!y, Q82] 
 [Q45, A_as_y_1, Q84] 
 [Q45, A_as_y_1, Q73] 
 [Q45, G_req2?y, Q45] 
 [Q45, G_req1?y, F85] 
 [Q45, G_req1?y, Q45] 
 [Q46, G_rel2!y, Q83] 
 [Q46, A_as_y_1, Q86] 
 [Q46, A_as_y_1, Q74] 
 [Q46, G_req2?y, Q46] 
 [Q46, G_req1?y, F85] 
 [Q46, G_req1?y, Q46] 
 [Q47, G_rel1!y, Q87] 
 [Q47, A_as_y_1, Q84] 
 [Q47, A_as_y_1, Q75] 
 [Q47, G_req2?y, Q47] 
 [Q47, G_req1?y, F88] 
 [F48, A_as_y_1, F85] 
 [F48, A_as_y_1, F88] 
 [F48, A_as_y_1, F89] 
 [F48, A_as_y_1, F76] 
 [F48, G_req2?y, F48] 
 [F48, G_req1?y, F48] 
 [Q49, G_rel1!y, Q90] 
 [Q49, A_as_y_1, Q86] 
 [Q49, A_as_y_1, Q77] 
 [Q49, G_req2?y, Q49] 
 [Q49, G_req1?y, F89] 
 [Q50, A_as_y_1, Q78] 
 [Q50, G_req2?y, Q50] 
 [Q50, G_req2?y, Q87] 
 [Q50, G_req1?y, Q7] 
 [Q50, G_req1?y, Q91] 
 [Q51, G_rel1!y, Q91] 
 [Q51, A_as_y_1, Q92] 
 [Q51, A_as_y_1, Q79] 
 [Q51, G_req2?y, Q51] 
 [Q51, G_req2?y, F88] 
 [Q51, G_req1?y, Q51] 
 [Q52, G_rel1!y, Q93] 
 [Q52, A_as_y_1, Q80] 
 [Q52, A_as_y_1, Q92] 
 [Q52, G_req2?y, Q52] 
 [Q52, G_req2?y, F89] 
 [Q52, G_req1?y, Q52] 
 [Q53, A_as_y_1, Q81] 
 [Q53, G_req2?y, Q53] 
 [Q53, G_req2?y, Q90] 
 [Q53, G_req1?y, Q8] 
 [Q53, G_req1?y, Q93] 
 [Q54, A_as_y_1, Q94] 
 [Q54, G_req2?y, Q82] 
 [Q54, G_req2?y, Q10] 
 [Q54, G_req1?y, Q54] 
 [Q54, G_req1?y, Q95] 
 [Q55, A_as_y_1, Q96] 
 [Q55, G_req2?y, Q83] 
 [Q55, G_req2?y, Q11] 
 [Q55, G_req1?y, Q55] 
 [Q55, G_req1?y, Q95] 
 [Q56, G_rel2!y, Q94] 
 [Q56, G_rel1!y, Q97] 
 [Q56, G_req2?y, Q84] 
 [Q56, G_req1?y, Q98] 
 [Q57, G_rel2!y, Q95] 
 [Q57, A_as_y_1, Q98] 
 [Q57, A_as_y_1, Q99] 
 [Q57, G_req2?y, F85] 
 [Q57, G_req1?y, Q57] 
 [Q58, G_rel2!y, Q96] 
 [Q58, G_rel1!y, Q100] 
 [Q58, G_req2?y, Q86] 
